date,CMRMTSPLx,IPDCONGD,HWI,CES0600000007,AWHMAN,COMPAPFFx,EXSZUSx,DTCTHFNM,cum_return_1_0,fc2y,oa,rel_to_high_price,s2p,suv,dp,tms,svar
196903,2.41966885408118e-05,-0.0024951830126323,3,40.5,40.8,0.23,0.00487251248228371,-0.0213584564843199,-0.061521742,-0.00356289636455198,0,-0.110990368654334,-0.00129188726412494,-0.495813727,-0.0306331649964919,0.0018,0.000541631
196904,0.00155637286701804,-0.000683676251358456,0,40.1,40.4,0.01,4.62909385570143e-05,0.0048825998006059,0.101002261,0,0,0.0142666298189013,0,-0.237241659,-0.0180277480738038,-0.0018,0.000550412
196905,0.00367128908280456,0.00561639855742913,1,40.4,40.8,0.03,-0.00501184398659449,0.000231000182669305,-0.019480519,0.00441908770489219,-2.33160000000007e-05,-0.00288537090201524,-7.1894797986638e-06,0.21848251925,0.0054308896250661,0.0031,0.000426897
196906,0.00431413628769661,-0.0266757383352547,0,40.7,41,-0.37,0.00545150106116399,0.00675060804788075,-0.006757991,0.000764307722684654,5.49710000000009e-05,-0.000788479225499739,0.00065334173343462,-0.205765368,0.0603811593497876,-0.0021,0.000752237
196907,-0.000689251876899277,-0.0134608155929961,0,40.4,40.7,-1.32,0.000763155801755788,0.00226092633531572,-0.100649415,0.012228174429209,5.23699999999995e-05,-0.141772519584833,0.0045754369936051,-0.500825615,0.0642031536440322,-0.0079,0.00230565
196908,-0.00057274175878419,0.0330938472248019,-2,40.3,40.7,-0.67,-0.00254612085792738,0.00410381204300236,0.016498312,-0.00262880492912831,5.23699999999995e-05,-0.120840114286629,0.0045754369936051,-0.438673009,-0.0371900008193307,-0.0068,0.000918234
196909,0.000281914086865953,0.00016113670469986,-1,40.2,40.6,0.04,-0.000904274497317559,-0.00420766715164156,0.13656845915,0.00183218607853242,0.0002450905,0.0443848434778218,-0.00467366704519729,-0.381154626,0.027471219433902,-0.00320000000000001,0.000891588
196910,0.0107906995413689,0.0104299690999006,-1,40.3,40.6,-0.86,-0.00134633260819306,-0.00107746000943898,-0.06942174015,0.000796618850595898,-0.0001927205,-0.0265583767768889,9.82300515921901e-05,-0.238229209,-0.0422460947870555,-0.00470000000000001,0.000753723
196911,0.00481483709995345,-0.00986331943673724,4,40.3,40.6,-0.67,-0.00158077072227414,-0.00616588961361586,0.0996193065,-0.000796618850595898,-5.23699999999995e-05,0.0790169420481384,-9.82300515921901e-05,-0.022660926,0.0369883439309975,-0.00480000000000001,0.000509136
196912,0.0115004171566149,0.00539152887924121,-1,40.1,40.5,-0.44,0.00155754218834181,0.00287854347739547,-0.1271389835,-0.000797253958161326,5.23699999999995e-05,-0.0525308011635855,-9.82397016831629e-05,-0.336590533,0.0198757712113693,-0.00950000000000001,0.001163555
197001,-0.0139419305302599,-0.041959418628553,-2,40.2,40.5,-0.39,0.00477372120596398,-0.000133713940703828,-0.005831044,0.0032505912430969,0.0002671185,-0.0410479563119536,-0.00207689572513629,0.64292753785,0.080597774350041,-0.00940000000000001,0.001067097
197002,-0.00184543206434462,-0.00588720907043561,-2,40.3,40.6,-0.13,-0.00365935975898402,0.00490844455029915,0.014740214,0.00165397825744495,0.000295073500000001,-0.0253651369841907,-0.000592042539267423,-0.320953038,-0.050277852641802,-0.0062,0.001058712
197003,-0.0126839110811545,-0.0539242176234391,-4,40,40.4,-0.2,0.00115947419246298,-0.018218632993392,0.0783103813,-0.00331069669178463,-0.000280433,0.0838418022601773,0.00118373477155274,-0.200127166,-0.000409908398045111,-0.000199999999999992,0.000963539
197004,0.000888419607445456,0.0144765367015469,0,40,40.2,-0.43,-0.00348246352922632,0.00466527926222504,-0.0528866523,-0.00159387280875722,-2.92810000000008e-05,-0.00647251458827064,-0.00118373477155274,-0.347323266,0.0958821644439256,0.0048,0.001614677
197005,-0.0117541363515219,0.00945551276351564,-4,39.9,40.1,0.57,0.00236939412574566,-0.00271828213397285,-0.127380738,-0.00197751584559636,2.92810000000008e-05,-0.165696670825476,0,-0.211379125,0.0639751330548441,0.0059,0.008151854
197006,-0.00506701604364856,-0.000460760386470138,-2,39.7,39.8,-0.04,-0.00181138434609562,0.00762551337166251,0.058101442,0.00193089892090215,0.0001402165,-0.0512142711254073,-0.0015506869114047,-0.067758821,0.0523659469041737,0.00410000000000001,0.002651911
197007,0.0108029121074633,0.000986200995953812,-4,39.6,39.8,0.29,0.00192738689828209,-0.00160888359653022,0.0149788185,0.0173902805382948,0.000156369,-0.0208135039996364,-0.000839449602679121,-0.361754081,-0.0696959993187862,0.0042,0.002126476
